"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000006194",419.55797685818,-0.0646252923080375,0.0525955036280978,-1.22872275860313,0.219175770270279,0.387776755856053
"ENSG00000006210",1446.84377476702,0.136017132185173,0.138737837890119,0.980389591287269,0.326893845713157,0.504524131856924
"ENSG00000006282",761.611169629702,-0.158512173991942,0.095193758348694,-1.66515301781986,0.09588223152178,0.219576277822567
"ENSG00000006283",640.203361267785,0.69557790276254,0.158659790249007,4.384084345951,1.16474641919251e-05,0.000548872115859237
"ENSG00000006327",33.00531622367,-0.670171170083982,0.246253866289622,-2.7214645608682,0.00649933534515749,0.0342542492305853
"ENSG00000006377",29.1259299315629,0.481170912872156,0.192119130077991,2.50454451192249,0.0122609176484253,0.0526188548605775
"ENSG00000006432",2144.41580638361,0.460704521611034,0.139071947717034,3.31270633059958,0.000923979434840815,0.00918847740325958
"ENSG00000006451",526.319993524198,-0.0331951501678684,0.0432463402742502,-0.767582874235338,0.442735040060816,0.614626944545194
"ENSG00000006453",70.8603428952139,-0.12525817436417,0.0946098424016737,-1.323944435214,0.185521499192153,0.346042914458853
"ENSG00000006459",790.447893789638,0.0835340508111338,0.0625880140985581,1.33466530316159,0.181985914379091,0.341650823164894
"ENSG00000006468",672.728125808994,0.120315518780599,0.107803679182279,1.11606134125687,0.264395878487236,0.439212502450293
"ENSG00000006530",889.546975439928,0.0789034668148035,0.0473542246064511,1.66623923146351,0.0956657749032217,0.219279488091412
"ENSG00000006534",94.6427270005403,-0.41567366201044,0.113492773590006,-3.66255620390481,0.000249710941546191,0.00391619271934011
"ENSG00000006555",17.1959088547837,0.49118660139859,0.206107656731664,2.38315552749249,0.0171649407055756,0.0664739428226681
"ENSG00000006576",599.217373131608,0.151994637263129,0.0590918972837309,2.57217392315775,0.0101062107223517,0.0460765669888206
"ENSG00000006606",0.926202179204657,0.23852671769376,0.511300348012822,0.466509985023085,0.6408505020925,NA
"ENSG00000006607",1125.55055163286,-0.263444280388811,0.0601033524911294,-4.38318778353824,1.169552177173e-05,0.00055000162286915
"ENSG00000006611",195.879518696754,-0.741792621548411,0.252338361010955,-2.93967440612887,0.00328557303371333,0.0215159088378297
"ENSG00000006625",90.7905903370559,0.17644064915953,0.106012483813629,1.66433841385807,0.096044819881452,0.219828334410463
"ENSG00000006634",81.6523872277189,0.190945177748839,0.0718767889542459,2.65656243868083,0.00789418308127861,0.0391007691532195
"ENSG00000006638",20.6411127775569,-0.457233859670253,0.119351366271469,-3.83098974024527,0.000127628827924209,0.00253764610771157
"ENSG00000006652",675.514601840795,-0.153208979260556,0.0977613239661653,-1.56717373542917,0.117074087815318,0.252154360113232
"ENSG00000006695",262.168389145713,0.211421614337226,0.0644428541111824,3.2807611837375,0.00103527362075404,0.00989142486605763
"ENSG00000006704",512.651936410112,-0.0985875044594395,0.0885852915424191,-1.11291053788801,0.265746853753104,0.440604204219617
"ENSG00000006712",611.083773029591,-0.150933977899007,0.0693494848651188,-2.17642536483964,0.02952346886288,0.0969056276772681
"ENSG00000006715",1677.28434290386,0.202549198216374,0.0747943433891528,2.70808177514864,0.00676733455111192,0.0352889990305062
"ENSG00000006740",1522.11511733804,0.471699550296154,0.121037659080809,3.89713047888038,9.73391819243408e-05,0.002137185461228
"ENSG00000006744",784.481614658483,-0.0707700547843571,0.0413421744709315,-1.71181259065405,0.0869312110247283,0.205298190064958
