"geneid","gene_name"
"685","ENSG00000231716","CDY23P"
"686","ENSG00000234744","USP9YP26"
"687","ENSG00000233156","HSFY8P"
"691","ENSG00000252948","RNU6-1314P"
"692","ENSG00000233843","CYCSP48"
"693","ENSG00000129862","VCY1B"
"694","ENSG00000235451","PNPLA4P1"
"696","ENSG00000225624","TBL1YP1"
"697","ENSG00000280969","RPS4Y2"
"698","ENSG00000224482","HSFY4P"
"700","ENSG00000229551","GAPDHP17"
"701","ENSG00000226504","TMEM167AP1"
"703","ENSG00000237427","TOMM22P1"
"704","ENSG00000232634","NEFLP1"
"706","ENSG00000183146","PRORY"
"708","ENSG00000169849","TSPY14P"
"709","ENSG00000169811","RBMY1HP"
"712","ENSG00000184991","TTTY13"
"713","ENSG00000271123","ELOCP5"
"714","ENSG00000226042","CDY10P"
"715","ENSG00000237023","USP9YP3"
"716","ENSG00000229416","USP9YP8"
"717","ENSG00000230029","CDY11P"
"718","ENSG00000224169","HSFY6P"
"719","ENSG00000223407","USP9YP18"
"720","ENSG00000226873","CDY14P"
"721","ENSG00000227915","ELOCP16"
"722","ENSG00000236620","XKRYP3"
"723","ENSG00000224866","USP9YP25"
"724","ENSG00000232424","USP9YP29"
"725","ENSG00000252681","RNU1-97P"
"726","ENSG00000232910","RAB9AP1"
"727","ENSG00000232845","TRAPPC2P9"
"728","ENSG00000237302","OFD1P11Y"
"729","ENSG00000252468","RNU2-57P"
"730","ENSG00000231341","VDAC1P6"
"731","ENSG00000235001","EIF4A1P2"
"732","ENSG00000214207","KRT18P10"
"733","ENSG00000278585","SNX3P1Y"
"734","ENSG00000235175","RPL26P37"
"735","ENSG00000099715","PCDH11Y"
"736","ENSG00000231540","ELOCP9"
"737","ENSG00000223362","CDY15P"
"738","ENSG00000231026","XKRYP4"
"739","ENSG00000224571","USP9YP13"
"740","ENSG00000226369","USP9YP11"
"741","ENSG00000280961","TTTY3B"
"742","ENSG00000227871","USP9YP12"
"743","ENSG00000251917","RNU1-86P"
"744","ENSG00000231423","RAB9AP5"
"745","ENSG00000228465","TRAPPC2P10"
"746","ENSG00000232585","OFD1P12Y"
"747","ENSG00000234081","ELOCP10"
"748","ENSG00000172352","CDY1B"
"749","ENSG00000231375","CDY17P"
