"gene_id","control_mean"
"ENSG00000019102","ENSG00000019102",15.7333333333333
"ENSG00000019144","ENSG00000019144",12134.3
"ENSG00000019169","ENSG00000019169",6.23333333333333
"ENSG00000019186","ENSG00000019186",4.9
"ENSG00000019485","ENSG00000019485",607.433333333333
"ENSG00000019505","ENSG00000019505",1877.93333333333
"ENSG00000019549","ENSG00000019549",34.5666666666667
"ENSG00000019582","ENSG00000019582",3010.96666666667
"ENSG00000019991","ENSG00000019991",214.366666666667
"ENSG00000019995","ENSG00000019995",1047.5
"ENSG00000020129","ENSG00000020129",7385.93333333333
"ENSG00000020181","ENSG00000020181",461.866666666667
"ENSG00000020219","ENSG00000020219",0.666666666666667
"ENSG00000020256","ENSG00000020256",345.366666666667
"ENSG00000020426","ENSG00000020426",241.833333333333
"ENSG00000020577","ENSG00000020577",2133.1
"ENSG00000020633","ENSG00000020633",29.8666666666667
"ENSG00000020922","ENSG00000020922",445.966666666667
"ENSG00000021300","ENSG00000021300",11625.3
"ENSG00000021355","ENSG00000021355",259.1
"ENSG00000021461","ENSG00000021461",7.83333333333333
"ENSG00000021488","ENSG00000021488",16.6666666666667
"ENSG00000021574","ENSG00000021574",905.533333333333
"ENSG00000021645","ENSG00000021645",3951.36666666667
"ENSG00000021762","ENSG00000021762",544.266666666667
"ENSG00000021776","ENSG00000021776",1208.2
"ENSG00000021826","ENSG00000021826",176.233333333333
"ENSG00000021852","ENSG00000021852",0.3
"ENSG00000022267","ENSG00000022267",2096.06666666667
"ENSG00000022277","ENSG00000022277",1055.83333333333
"ENSG00000022355","ENSG00000022355",2430.03333333333
"ENSG00000022556","ENSG00000022556",37.9333333333333
"ENSG00000022567","ENSG00000022567",1125.33333333333
"ENSG00000022840","ENSG00000022840",1866.23333333333
"ENSG00000022976","ENSG00000022976",288.566666666667
"ENSG00000023041","ENSG00000023041",331.833333333333
"ENSG00000023171","ENSG00000023171",2644.3
"ENSG00000023191","ENSG00000023191",1482.33333333333
"ENSG00000023228","ENSG00000023228",4731.16666666667
"ENSG00000023287","ENSG00000023287",2493.1
"ENSG00000023318","ENSG00000023318",562.566666666667
"ENSG00000023330","ENSG00000023330",762.533333333333
"ENSG00000023445","ENSG00000023445",190.3
"ENSG00000023516","ENSG00000023516",9159.93333333333
"ENSG00000023572","ENSG00000023572",512.133333333333
"ENSG00000023608","ENSG00000023608",74.0666666666667
"ENSG00000023697","ENSG00000023697",140.3
"ENSG00000023734","ENSG00000023734",727.266666666667
"ENSG00000023839","ENSG00000023839",39.0333333333333
"ENSG00000023892","ENSG00000023892",55.6666666666667
"ENSG00000023902","ENSG00000023902",448.666666666667
"ENSG00000023909","ENSG00000023909",381.833333333333
"ENSG00000024048","ENSG00000024048",1637.5
